STUDY_ID	SUBJ_ID	SAMPLE_ID	Cell Phenotype	Timepoint	Stimulant	Cell Culture Pretreatment	OMIT	Tissue	Sample Source	OMIT
-1000.947	Donor_G_1	GSM332913	GFP Expressing (Control)	Baseline	None	No treatment	basal	Smooth muscle	Trachea	GFP_basal_donor1
-1000.947	Donor_G_2	GSM332914	GFP Expressing (Control)	Baseline	None	No treatment	basal	Smooth muscle	Trachea	GFP_basal_donor2
-1000.947	Donor_G_3	GSM332915	GFP Expressing (Control)	Baseline	None	No treatment	basal	Smooth muscle	Trachea	GFP_basal_donor3
-1000.947	Donor_G_4	GSM332916	GFP Expressing (Control)	Baseline	None	No treatment	basal	Smooth muscle	Trachea	GFP_basal_donor4
-1000.947	Donor_G_1	GSM332917	GFP Expressing (Control)	8 hours	EGF and IL-1b	No treatment	8h EGF+IL-1b	Smooth muscle	Trachea	GFP_E+I_donor1
-1000.947	Donor_G_2	GSM332918	GFP Expressing (Control)	8 hours	EGF and IL-1b	No treatment	8h EGF+IL-1b	Smooth muscle	Trachea	GFP_E+I_donor2
-1000.947	Donor_G_3	GSM332919	GFP Expressing (Control)	8 hours	EGF and IL-1b	No treatment	8h EGF+IL-1b	Smooth muscle	Trachea	GFP_E+I_donor3
-1000.947	Donor_G_4	GSM332920	GFP Expressing (Control)	8 hours	EGF and IL-1b	No treatment	8h EGF+IL-1b	Smooth muscle	Trachea	GFP_E+I_donor4
-1000.947	Donor_G_1	GSM332921	GFP Expressing (Control)	8 hours	EGF	No treatment	8h EGF	Smooth muscle	Trachea	GFP_EGF_donor1
-1000.947	Donor_G_2	GSM332922	GFP Expressing (Control)	8 hours	EGF	No treatment	8h EGF	Smooth muscle	Trachea	GFP_EGF_donor2
-1000.947	Donor_G_3	GSM332923	GFP Expressing (Control)	8 hours	EGF	No treatment	8h EGF	Smooth muscle	Trachea	GFP_EGF_donor3
-1000.947	Donor_G_4	GSM332924	GFP Expressing (Control)	8 hours	EGF	No treatment	8h EGF	Smooth muscle	Trachea	GFP_EGF_donor4
-1000.947	Donor_G_2	GSM332925	GFP Expressing (Control)	Baseline	None	Fluticasone	30 min Flu pretx	Smooth muscle	Trachea	GFP_Flu_donor2
-1000.947	Donor_G_3	GSM332926	GFP Expressing (Control)	Baseline	None	Fluticasone	30 min Flu pretx	Smooth muscle	Trachea	GFP_Flu_donor3
-1000.947	Donor_G_4	GSM332927	GFP Expressing (Control)	Baseline	None	Fluticasone	30 min Flu pretx	Smooth muscle	Trachea	GFP_Flu_donor4
-1000.947	Donor_G_2	GSM332928	GFP Expressing (Control)	8 hours	EGF and IL-1b	Fluticasone	30 min Flu pretx and 8h EGF+IL-1b	Smooth muscle	Trachea	GFP_Flu+E+I_donor2
-1000.947	Donor_G_3	GSM332929	GFP Expressing (Control)	8 hours	EGF and IL-1b	Fluticasone	30 min Flu pretx and 8h EGF+IL-1b	Smooth muscle	Trachea	GFP_Flu+E+I_donor3
-1000.947	Donor_G_4	GSM332930	GFP Expressing (Control)	8 hours	EGF and IL-1b	Fluticasone	30 min Flu pretx and 8h EGF+IL-1b	Smooth muscle	Trachea	GFP_Flu+E+I_donor4
